"Symbol","Name","Sector"
"BSTC","Biospecifics Technologies Corp","Health Care","Equity"
"BSVN","Bank7 Corp","Financials","Equity"
"BTAI","Bioxcel Therapeutics Inc","Health Care","Equity"
"BTU","Peabody Energy Corp","Energy","Equity"
"BUSE","First Busey Corp","Financials","Equity"
"BV","Brightview Holdings Inc","Industrials","Equity"
"BWB","Bridgewater Bancshares Inc","Financials","Equity"
"BWFG","Bankwell Financial Group Inc","Financials","Equity"
"BXG","Bluegreen Corp","Consumer Discretionary","Equity"
"BXMT","Blackstone Mortgage Trust REIT CLA","Financials","Equity"
"BXS","Bancorpsouth","Financials","Equity"
"BY","Byline Bancorp Inc","Financials","Equity"
"BYD","Boyd Gaming Corp","Consumer Discretionary","Equity"
"BYSI","Beyondspring Inc","Health Care","Equity"
"BZH","Beazer Homes Inc","Consumer Discretionary","Equity"
"CABA","Cabaletta Bio Inc","Health Care","Equity"
"CAC","Camden National Corp","Financials","Equity"
"CADE","Cadence Bancorporation Class A","Financials","Equity"
"CAI","CAI International Inc","Industrials","Equity"
"CAKE","Cheesecake Factory Inc","Consumer Discretionary","Equity"
"CALA","Calithera Biosciences Inc","Health Care","Equity"
"CALB","California Bancorp","Financials","Equity"
"CAL","Caleres Inc","Consumer Discretionary","Equity"
"CALM","Cal Maine Foods Inc","Consumer Staples","Equity"
"CALX","Calix Networks Inc","Information Technology","Equity"
"CAMP","Calamp Corp","Information Technology","Equity"
"CARA","Cara Therapeutics Inc","Health Care","Equity"
"CAR","Avis Budget Group Inc","Industrials","Equity"
"CAR","Avis Budget Group Inc","Industrials","Equity"
"CARE","Carter Bank and Trust","Financials","Equity"
"CARG","Cargurus Inc Class A","Communication","Equity"
"CARS","Cars.com Inc","Communication","Equity"
"CASA","Casa Systems Inc","Information Technology","Equity"
"CASH","Meta Financial Group Inc","Financials","Equity"
"CASI","Casi Pharmaceuticals Inc","Health Care","Equity"
"CASS","Cass Information Systems Inc","Information Technology","Equity"
"CATB","Catabasis Pharmaceuticals Inc","Health Care","Equity"
"CATC","Cambridge Bancorp","Financials","Equity"
"CATM","Cardtronics PLC Class A","Information Technology","Equity"
"CATO","Cato Corp Class A","Consumer Discretionary","Equity"
"CATS","Catasys Inc","Health Care","Equity"
"CATY","Cathay General Bancorp","Financials","Equity"
"CBAN","Colony Bankcorp Inc","Financials","Equity"
"CBAY","Cymabay Therapeutics Inc","Health Care","Equity"
"CBB","Cincinnati Bell Inc","Communication","Equity"
"CBFV","CB Financial Services Inc","Financials","Equity"
"CBIO","Catalyst Biosciences Inc","Health Care","Equity"
"CBMG","Cellular Biomedicine Group Inc","Health Care","Equity"
"CBNK","Capital Bancorp Inc","Financials","Equity"
"CBRL","Cracker Barrel Old Country Story Inc","Consumer Discretionary","Equity"
"CBTX","CBTX Inc","Financials","Equity"
"CBU","Cummunity Bank System Inc","Financials","Equity"
"CBZ","CBIZ Inc","Industrials","Equity"
"CCB","Coastal Financial Corp","Financials","Equity"
"CCBG","Capital City Bank Inc","Financials","Equity"
"CCF","Chase Corp","Materials","Equity"
"CCMP","Cabot Microelectronics Corp","Information Technology","Equity"
"CCNE","CNB Financial Corp","Financials","Equity"
"CCOI","Cogent Communications Holdings, Inc","Equity"
"CCRN","Cross Country Healthcare Inc","Health Care","Equity"
"CCS","Century Communities Inc","Consumer Discretionary","Equity"
"CCXI","Chemocentryx Inc","Consumer Discretionary","Equity"
"CDE","Coeur Mining Inc","Materials","Equity"
"CDLX","Cardlytics Inc","Communication","Equity"
"CDMO","Avid Bioservices Inc","Health Care","Equity"
"CDNA","Caredx Inc","Health Care","Equity"
"CDTX","Cidara Therapeutics Inc","Health Care","Equity"
"CDXC","Chromadex Corp","Health Care","Equity"
"CDXS","Codexis Inc","Health Care","Equity"
"CDZI","Cadiz Inc","Utilities","Equity"
"CECE","Ceco Environmental Corp","Industrials","Equity"
"CEIX","Consol Energy Inc","Energy","Equity"
"CELH","Celsius Holdings Inc","Consumer Staples","Equity"
"CEMI","Chembio Diagnostics Inc","Health Care","Equity"
"CENTA","Central Garden and Pet Class A","Consumer Staples","Equity"
