"Symbol","Name","Sector"
"PVH","PVH Corp","Consumer Discretionary","Equity"
"QRVO","Qorvo","Information Technology","Equity"
"PWR","Quanta Services Inc","Industrials","Equity"
"QCOM","Qualcomm Inc","Information Technology","Equity"
"DGX","Quest Diagnostics","Health Care","Equity"
"RL","Ralph Lauren Corporation","Consumer Discretionary","Equity"
"SJF","Raymond James Financial Inc","Financials","Equity"
"RTX","Raytheon Technologies Inc","Industrials","Equity"
"O","Realty Income Corporation","Real Estate","Equity"
"REG","Regency Centers Corporation","Real Estate","Equity"
"REGN","Regeneron Pharmaceuticals Inc","Health Care","Equity"
"RF","Regions Financial Corp","Financials","Equity"
"RSG","Republic Services Inc","Industrials","Equity"
"RMD","ResMed","Health Care","Equity"
"RHI","Robert Half International","Industrials","Equity"
"ROK","Rockwell Automation Inc","Industrials","Equity"
"ROL","Rollins Inc","Industrials","Equity"
"ROP","Roper Technologies Inc","Industrials","Equity"
"ROST","Ross Stores","Consumer Discretionary","Equity"
"RCL","Royal Caribbean Cruises Ltd","Consumer Discretionary","Equity"
"SPGI","S&P Global Inc","Financials","Equity"
"CRM","Salesforce.com","Information Technology","Equity"
"SBAC","SBA Communications","Real Estate","Equity"
"SLB","Schlumberger Ltd","Energy","Equity"
"STX","Seagate Technology","Information Technology","Equity"
"SEE","Sealed Air","Materials","Equity"
"SRE","Sempra Energy","Utilities","Equity"
"NOW","ServiceNow","Information Technology","Equity"
"SHW","Sherwin-Williams","Materials","Equity"
"SPG","Simon Property Group Inc","Real Estate","Equity"
"SWKS","Skyworks Solutions","Information Technology","Equity"
"SLG","SL GreenRealty","Real Estate","Equity"
"SNA","Snap-on","Industrials","Equity"
"SO","Southern Company","Utilities","Equity"
"LUV","Southwest Airlines","Industrials","Equity"
"SWK","Stanley Black & Decker","Industrials","Equity"
"SBUX","Starbucks Corp","Consumer Discretionary","Equity"
"STT","State Street Corp","Financials","Equity"
"STE","Steris plc","Health Care","Equity"
"SYK","Stryker Corp","Health Care","Equity"
"SIVB","SVB Financial","Financials","Equity"
"SYF","Synchrony Financial","Financials","Equity"
"SNPS","Synopsys Inc","Information Technology","Equity"
"SYY","Sysco Corp","Consumer Staples","Equity"
"TMUS","T-Mobile US","Communication","Equity"
"TROW","T Rowe Price Group","Financials","Equity"
"TTWO","Take-Two Interactive","Communication","Equity"
"TPR","Tapestry Inc","Consumer Discretionary","Equity"
"TGT","Target Corp","Consumer Discretionary","Equity"
"TEL","TE Connectivity Ltd","Information Technology","Equity"
"FTI","TechnipFMC","Energy","Equity"
"TDY","Teledyne Technologies Inc","Industrials","Equity"
"TFX","Teleflex","Health Care","Equity"
"TXN","Texas Instruments","Information Technology","Equity"
"TXT","Textron Inc","Industrials","Equity"
"TMO","Thermo Fisher Scientific","Health Care","Equity"
"TIF","Tiffany & Co","Consumer Discretionary","Equity"
"TJX","TJX Companies Inc","Consumer Discretionary","Equity"
"TSCO","Tractor Supply Company","Consumer Discretionary","Equity"
"TT","Trane Technologies plc","Industrials","Equity"
"TDG","TransDigm Group","Industrials","Equity"
"TRV","The Travelers Companies Inc","Financials","Equity"
"TFC","Truist Financial","Financials","Equity"
"TWTR","Twitter Inc","Communication","Equity"
"TYL","Tyler Technologies Inc","Information Technology","Equity"
"TSN","Tyson Foods","Consumer Staples","Equity"
"UDR","UDR Inc","Real Estate","Equity"
"ULTA","Ulta Beauty","Consumer Discretionary","Equity"
"USB","US Bancorp","Financials","Equity"
"UAA","Under Armour Class A","Consumer Discretionary","Equity"
"UA","Under Armour Class C","Consumer Discretionary","Equity"
"UNP","Union Pacific Corp","Industrials","Equity"
"UAL","United Airlines HOldings","Industrials","Equity"
"UNH","United Health Group Inc","Health Care","Equity"
"UPS","United Parcel Service","Industrials","Equity"
"URI","United Rentals","Industrials","Equity"
"UHS","Universal Health Services","Health Care","Equity"
"UNM","Unum Group","Financials","Equity"
"VFC","VF Corporation","Consumer Discretionary","Equity"
"VLO","Valero Energy","Energy","Equity"
"VAR","Varian Medical Systems","Health Care","Equity"
"VTR","Ventas Inc","Real Estate","Equity"
"VRSN","Verisgn Inc","Information Technology","Equity"
"VRSK","Verisk Analytics","Industrials","Equity"
"VZ","Verizon Communications","Communication","Equity"
"VRTX","Vertex Pharmaceuticals Inc","Health Care","Equity"
"VIAC","ViacomCBS","Communication","Equity"
"V","Visa Inc","Information Technology","Equity"
"VNO","Vornado Realty Trust","Real Estate","Equity"
"VMC","Vulcan Materials","Materials","Equity"
"WRB","WR Berkley Corporation","Financials","Equity"
"WAB","Wabtec Corporation","Industrials","Equity"
"WMT","Walmart","Consumer Staples","Equity"
"WBA","Walgreens Boots Alliance","Consumer Staples","Equity"
"DIS","The Walt Disney Company","Communication","Equity"
"WM","Waste Management Inc","Industrials","Equity"
"WAT","Waters Corporation","Health Care","Equity"
"WEC","WEC Energy Group","Utilities","Equity"
"WFC","Wellc fargo","Financials","Equity"
"WELL","Welltower Inc","Real Estate","Equity"
"WST","West Pharmaceuticals Services","Health Care","Equity"
"WDC","Western Digital","Information Technology","Equity"
"WU","Western Union Co","Information Technology","Equity"
"WRK","WestRock","Materials","Equity"
"WY","Weyerhaeuser","Real Estate","Equity"
"WHR","Whirlpool Corp","Consumer Discretionary","Equity"
"WMB","Williams Companies","Energy","Equity"
"WLTW","Willis Towers Watson","Financials","Equity"
"WYNN","Wynn Resorts Ltd","Consumer Discretionary","Equity"
"XEL","Xcel Energy Inc","Utilities","Equity"
"XRX","Xerox","Information Technology","Equity"
"XLNX","Xilinx","Information Technology","Equity"
"XYL","Xylem Inc","Industrials","Equity"
"YUM","Yum Brands Inc","Consumer Discretionary","Equity"
"ZBRA","Zebra Technologies","Information Technology","Equity"
"ZBH","Zimmer Biomet Holdings","Health Care","Equity"
"ZION","Zions Bancorp","Financials","Equity"
"ZTS","Zoetis","Health Care","Equity"
